ticker,name,sector,subsector,indices,market_cap_musd
XEL,Xcel Energy Inc.,utilities,Multi-Utilities,SP500|NDX,40000
PEG,Public Service Enterprise Group,utilities,Multi-Utilities,SP500,42000
ED,Consolidated Edison Inc.,utilities,Multi-Utilities,SP500,36000
WEC,WEC Energy Group Inc.,utilities,Multi-Utilities,SP500,32000
ES,Eversource Energy,utilities,Electric Utilities,SP500,22000
AEE,Ameren Corporation,utilities,Multi-Utilities,SP500,25000
DTE,DTE Energy Company,utilities,Multi-Utilities,SP500,27000
PPL,PPL Corporation,utilities,Electric Utilities,SP500,26000
FE,FirstEnergy Corp.,utilities,Electric Utilities,SP500,23000
CMS,CMS Energy Corporation,utilities,Multi-Utilities,SP500,21000
CNP,CenterPoint Energy Inc.,utilities,Multi-Utilities,SP500,23000
ATO,Atmos Energy Corporation,utilities,Gas Utilities,SP500,23000
NI,NiSource Inc.,utilities,Multi-Utilities,SP500,19000
LNT,Alliant Energy Corporation,utilities,Electric Utilities,SP500,16000
EVRG,Evergy Inc.,utilities,Electric Utilities,SP500,16000
AES,The AES Corporation,utilities,Independent Power,SP500,9000
NRG,NRG Energy Inc.,utilities,Independent Power,SP500,20000
PCG,PG&E Corporation,utilities,Electric Utilities,SP500,35000
VST,Vistra Corp.,utilities,Independent Power,SP500,45000
AWK,American Water Works Company,utilities,Water Utilities,SP500,26000
PLD,Prologis Inc.,real_estate,Industrial REITs,SP500,105000
AMT,American Tower Corporation,real_estate,Telecom REITs,SP500,90000
EQIX,Equinix Inc.,real_estate,Data Center REITs,SP500|NDX,80000
WELL,Welltower Inc.,real_estate,Health Care REITs,SP500,90000
SPG,Simon Property Group Inc.,real_estate,Retail REITs,SP500,60000
DLR,Digital Realty Trust Inc.,real_estate,Data Center REITs,SP500,55000
O,Realty Income Corporation,real_estate,Retail REITs,SP500,50000
PSA,Public Storage,real_estate,Self-Storage REITs,SP500,52000
CCI,Crown Castle Inc.,real_estate,Telecom REITs,SP500,42000
CBRE,CBRE Group Inc.,real_estate,Real Estate Services,SP500,42000
EXR,Extra Space Storage Inc.,real_estate,Self-Storage REITs,SP500,32000
AVB,AvalonBay Communities Inc.,real_estate,Residential REITs,SP500,28000
EQR,Equity Residential,real_estate,Residential REITs,SP500,26000
VTR,Ventas Inc.,real_estate,Health Care REITs,SP500,28000
INVH,Invitation Homes Inc.,real_estate,Residential REITs,SP500,19000
MAA,Mid-America Apartment Communities,real_estate,Residential REITs,SP500,17000
ESS,Essex Property Trust Inc.,real_estate,Residential REITs,SP500,18000
UDR,UDR Inc.,real_estate,Residential REITs,SP500,14000
ARE,Alexandria Real Estate Equities,real_estate,Office REITs,SP500,13000
BXP,BXP Inc.,real_estate,Office REITs,SP500,11000
KIM,Kimco Realty Corporation,real_estate,Retail REITs,SP500,14000
REG,Regency Centers Corporation,real_estate,Retail REITs,SP500,13000
FRT,Federal Realty Investment Trust,real_estate,Retail REITs,SP500,8000
HST,Host Hotels & Resorts Inc.,real_estate,Hotel REITs,SP500,11000
IRM,Iron Mountain Incorporated,real_estate,Specialized REITs,SP500,28000
WY,Weyerhaeuser Company,real_estate,Timber REITs,SP500,20000
DOC,Healthpeak Properties Inc.,real_estate,Health Care REITs,SP500,13000
CSGP,CoStar Group Inc.,real_estate,Real Estate Services,SP500|NDX,32000
LIN,Linde plc,materials,Industrial Gases,SP500,215000
SHW,The Sherwin-Williams Company,materials,Specialty Chemicals,SP500,85000
APD,Air Products and Chemicals Inc.,materials,Industrial Gases,SP500,65000
ECL,Ecolab Inc.,materials,Specialty Chemicals,SP500,68000
FCX,Freeport-McMoRan Inc.,materials,Copper,SP500,60000
NEM,Newmont Corporation,materials,Gold,SP500,65000
NUE,Nucor Corporation,materials,Steel,SP500,32000
DOW,Dow Inc.,materials,Commodity Chemicals,SP500,20000
DD,DuPont de Nemours Inc.,materials,Specialty Chemicals,SP500,32000
PPG,PPG Industries Inc.,materials,Specialty Chemicals,SP500,26000
LYB,LyondellBasell Industries N.V.,materials,Commodity Chemicals,SP500,22000
VMC,Vulcan Materials Company,materials,Construction Materials,SP500,36000
MLM,Martin Marietta Materials Inc.,materials,Construction Materials,SP500,34000
IFF,International Flavors & Fragrances,materials,Specialty Chemicals,SP500,20000
ALB,Albemarle Corporation,materials,Specialty Chemicals,SP500,10000
CE,Celanese Corporation,materials,Specialty Chemicals,SP500,7000
MOS,The Mosaic Company,materials,Fertilizers,SP500,9000
CF,CF Industries Holdings Inc.,materials,Fertilizers,SP500,14000
STLD,Steel Dynamics Inc.,materials,Steel,SP500,20000
PKG,Packaging Corporation of America,materials,Containers & Packaging,SP500,20000
IP,International Paper Company,materials,Containers & Packaging,SP500,26000
AMCR,Amcor plc,materials,Containers & Packaging,SP500,14000
BALL,Ball Corporation,materials,Containers & Packaging,SP500,16000
AVY,Avery Dennison Corporation,materials,Containers & Packaging,SP500,14000
SW,Smurfit WestRock plc,materials,Containers & Packaging,SP500,24000
GOOG,Alphabet Inc. Class C,communication_services,Interactive Media,SP500|NDX,2300000
FOX,Fox Corporation Class B,communication_services,Broadcasting,SP500,22000
NWS,News Corporation Class B,communication_services,Publishing,SP500,16000
